Date,Open,High,Low,Close,Adj Close,Volume,Returns,Target
2009-02-24,61.97,66.1,61.89,65.6,64.55666666666666,10271400,0.061129703617067675,1
2009-02-25,64.9,65.75,62.82,63.71,64.78666666666668,9122100,-0.029234159821646417,-1
2009-02-26,64.12,64.73,62.34,62.34,63.73000000000001,7275300,-0.021738261789205748,-1
2009-02-27,61.26,65.08,60.94,64.79,63.71,11488300,0.03854799612267491,1
2009-03-02,63.94,65.52,61.51,61.99,63.81666666666666,10511900,-0.04417818874803787,-1
2009-03-03,62.75,63.29,61.3,61.7,62.580000000000005,9691600,-0.004689150802485853,-1
2009-03-04,62.8,65.79,62.4,64.81,64.46666666666667,11960900,0.049175981528282384,1
2009-03-05,64.12,65.8,63.6,64.77,64.89666666666666,11770300,-0.0006173792447990594,-1
2009-03-06,65.2,65.5,59.82,61.69,64.13,15093800,-0.048720689973278344,-1
2009-03-09,62.2,64.03,60.15,60.49,62.24,13561400,-0.019643781102724345,-1
2009-03-10,62.49,65.9,61.78,65.71,64.7,15435700,0.08277305879095347,1
2009-03-11,66.24,69.37,65.27,68.54,68.05000000000001,13881700,0.04216639553668656,1
2009-03-12,68.35,69.87,67.25,69.58,69.26666666666667,11348900,0.015059653277332998,1
2009-03-13,69.64,69.74,67.53,68.63,69.33666666666666,8903400,-0.013747412803252711,-1
2009-03-16,68.56,69.29,66.68,66.98,68.27666666666669,9437300,-0.024335689554484678,-1
2009-03-17,67.37,71.71,67.0,71.35,70.14333333333333,11902800,0.06320327655678673,1
2009-03-18,70.97,73.91,70.13,71.25,72.04333333333334,10401700,-0.0014025247740854356,-1
2009-03-19,71.4,71.91,69.24,70.1,71.13666666666667,8819100,-0.01627202510821553,-1
2009-03-20,70.39,70.89,69.08,69.96,70.41333333333334,8468100,-0.001999143890143104,-1
2009-03-23,71.36,75.61,70.7,75.58,74.18333333333334,8612400,0.0772680477709416,1
2009-03-24,74.85,75.0,72.31,72.81,74.22,7457900,-0.037338389514723194,-1
2009-03-25,73.09,73.95,69.84,72.4,73.14666666666668,7895600,-0.005647009014948932,-1
2009-03-26,73.47,74.98,72.64,73.69,74.04666666666667,6657700,0.01766080538723715,1
2009-03-27,71.61,72.29,70.1,70.52,71.47333333333334,8568800,-0.043970747249238495,-1
2009-03-30,70.4,71.67,69.75,71.44,71.17,8373100,0.012961579038574126,1
2009-03-31,72.61,74.5,72.12,73.44,73.51666666666667,8918200,0.027610809743991407,1
2009-04-01,73.02,75.09,71.71,73.5,73.87,7041400,0.0008166599065559652,1
2009-04-02,73.63,77.24,73.44,76.34,75.73666666666666,11066900,0.037911641098292634,1
2009-04-03,76.42,78.32,75.5,78.17,77.63666666666667,5809900,0.023688894915155287,1
2009-04-06,77.26,78.36,76.0,77.99,77.87,5751300,-0.0023053288898324683,-1
2009-04-07,76.97,77.08,74.88,75.51,76.52,5748800,-0.03231551552707237,-1
2009-04-08,75.93,77.11,74.57,76.98,76.67333333333335,5653000,0.019280550040265892,1
2009-04-09,77.51,80.0,77.26,79.77,79.09333333333332,7082300,0.035601846067437985,1
2009-04-13,79.84,79.97,77.85,78.94,79.58333333333333,6212200,-0.010459423688337022,-1
2009-04-14,78.0,79.46,76.94,77.22,78.22666666666666,6160400,-0.022029579398610697,-1
2009-04-15,75.5,75.81,73.51,74.71,75.33999999999999,9412800,-0.033044538848380475,-1
2009-04-16,75.33,77.48,75.16,77.25,76.68666666666667,7467800,0.03343296379014509,1
2009-04-17,76.78,78.72,75.88,78.05,77.85000000000001,7426000,0.010302731183586105,1
2009-04-20,78.44,79.79,76.83,77.57,78.60000000000001,8686900,-0.006168892458660912,-1
2009-04-21,77.33,79.1,77.29,78.74,78.39,7162200,0.01497053101281129,1
2009-04-22,78.17,82.18,77.81,79.2,79.85000000000001,8775500,0.005825013304788772,1
2009-04-23,81.33,82.06,79.08,80.61,81.33333333333333,16187700,0.017646412475129394,1
2009-04-24,82.03,86.68,80.73,84.46,84.39,23484300,0.04665533821028779,1
2009-04-27,83.88,84.98,82.21,83.12,83.99333333333334,9705900,-0.015992702714825467,-1
2009-04-28,82.68,85.35,82.4,82.4,83.47666666666667,7924000,-0.008699909875545905,-1
2009-04-29,82.99,82.99,79.26,79.79,81.92333333333333,9735100,-0.03218725359523637,-1
2009-04-30,80.93,82.67,79.89,80.52,81.37333333333333,8537600,0.009107417451401091,1
2009-05-01,80.38,80.38,77.85,78.96,79.90666666666665,6121700,-0.019564205646364664,-1
2009-05-04,80.26,81.35,78.85,79.77,80.46,7019300,0.010206098797811942,1
2009-05-05,81.01,82.0,80.19,81.9,81.63666666666667,5870300,0.026351496935985697,1
2009-05-06,82.88,83.6,79.66,81.99,82.82333333333332,8604000,0.00109829774906237,1
2009-05-07,82.73,82.75,77.88,79.28,81.58666666666667,9632100,-0.0336113985863537,-1
2009-05-08,79.69,80.23,76.31,77.95,79.29,8193000,-0.01691829451794705,-1
2009-05-11,76.8,79.85,76.01,78.61,78.42,6872300,0.008431322301879525,1
2009-05-12,78.7,78.97,76.53,77.93,78.53333333333335,5548700,-0.00868792995019545,-1
2009-05-13,76.25,76.65,74.01,74.19,75.69666666666667,8770500,-0.0491816176540352,-1
2009-05-14,73.79,76.06,73.31,75.11,74.98666666666668,9343600,0.012324335496485806,1
2009-05-15,74.54,76.21,73.42,73.6,74.78333333333333,8011700,-0.020308679963089958,-1
2009-05-18,73.96,75.96,73.1,75.95,75.29,6829100,0.03143020330695149,1
2009-05-19,75.43,78.96,75.12,77.87,77.42,8028900,0.024965540547112877,1
2009-05-20,78.5,81.11,77.42,77.97,79.19333333333334,7351000,0.0012833677326137584,1
2009-05-21,76.75,77.97,75.4,75.96,76.89333333333333,5640500,-0.02611725137742351,-1
2009-05-22,76.1,77.04,75.02,75.64,76.25999999999999,3484700,-0.004221642153828341,-1
2009-05-26,75.03,78.48,74.55,78.39,77.3,6699600,0.03571112441037399,1
2009-05-27,78.51,79.5,76.75,77.1,78.36999999999999,5567100,-0.016593087631347092,-1
2009-05-28,77.7,79.1,75.88,77.65,78.15,4943100,0.007108269025412466,1
2009-05-29,77.72,78.01,76.4,77.99,77.90666666666668,5072200,0.004369063747710365,1
2009-06-01,78.21,84.8,77.49,83.05,82.02,10796500,0.06286222271689731,1
2009-06-02,82.42,85.45,82.1,84.93,84.26666666666667,9397000,0.02238455173261415,1
2009-06-03,83.31,85.71,83.13,85.68,84.89999999999999,7603400,0.008792038347575467,1
2009-06-04,85.42,86.4,84.57,85.52,85.77999999999999,5465400,-0.0018691594227036473,-1
2009-06-05,86.29,87.95,85.3,87.56,87.26666666666667,8263500,0.02357400593787255,1
2009-06-08,86.75,87.18,85.11,86.36,86.76333333333334,5602100,-0.013799667008055625,-1
2009-06-09,86.93,87.67,86.17,87.08,87.22666666666667,4475100,0.008302630719740058,1
2009-06-10,87.58,88.56,84.83,86.59,87.57666666666667,6073600,-0.0056429009066367415,-1
2009-06-11,86.3,87.49,85.05,85.69,86.49333333333334,5009700,-0.010448202778682435,-1
2009-06-12,85.03,85.2,82.01,84.08,84.77,6223000,-0.018967406112331792,-1
